objectid,filename,title,creator,date,source,identifier,type,format
gbby-45g001,http://archives.nd.edu/Bagby/GBBY-45g001.jpg,GBBY 45G/001: Football Coach Hunk Anderson with Players - c1931-1933,University of Notre Dame Archives,1931-1933,http://archives.nd.edu/Bagby/GBBY-45g001.jpg,gbby-45g001,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g002,http://archives.nd.edu/Bagby/GBBY-45g002.jpg,GBBY 45G/002: Football Coach Hunk Anderson with Family - c1931-1933,University of Notre Dame Archives,1931-1933,http://archives.nd.edu/Bagby/GBBY-45g002.jpg,gbby-45g002,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g003,http://archives.nd.edu/Bagby/GBBY-45g003.jpg,GBBY 45G/003: Harry Becker: Football Player - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g003.jpg,gbby-45g003,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g004,http://archives.nd.edu/Bagby/GBBY-45g004.jpg,GBBY 45G/004: Reyman (Bud) Bonar: Football Player - c1933-1934,University of Notre Dame Archives,1933-1934,http://archives.nd.edu/Bagby/GBBY-45g004.jpg,gbby-45g004,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g005,http://archives.nd.edu/Bagby/GBBY-45g005.jpg,GBBY 45G/005: Reyman (Bud) Bonar: Football Player - c1933-1934,University of Notre Dame Archives,1933-1934,http://archives.nd.edu/Bagby/GBBY-45g005.jpg,gbby-45g005,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g006,http://archives.nd.edu/Bagby/GBBY-45g006.jpg,GBBY 45G/006: William (Bill) Bruno: Football Player - c1934-1936,University of Notre Dame Archives,1934-1936,http://archives.nd.edu/Bagby/GBBY-45g006.jpg,gbby-45g006,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g007,http://archives.nd.edu/Bagby/GBBY-45g007.jpg,GBBY 45G/007: George Caldwell: Football Player - c1932-1934,University of Notre Dame Archives,1932-1934,http://archives.nd.edu/Bagby/GBBY-45g007.jpg,gbby-45g007,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g008,http://archives.nd.edu/Bagby/GBBY-45g008.jpg,GBBY 45G/008: George Caldwell: Football Player - c1932-1934,University of Notre Dame Archives,1932-1934,http://archives.nd.edu/Bagby/GBBY-45g008.jpg,gbby-45g008,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g009,http://archives.nd.edu/Bagby/GBBY-45g009.jpg,GBBY 45G/009: Fred Carideo: Football Player - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g009.jpg,gbby-45g009,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g010,http://archives.nd.edu/Bagby/GBBY-45g010.jpg,"GBBY 45G/010: August (Augie, Sonny) Church: Football Player - c1934-1935",University of Notre Dame Archives,1934-1935,http://archives.nd.edu/Bagby/GBBY-45g010.jpg,gbby-45g010,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g011,http://archives.nd.edu/Bagby/GBBY-45g011.jpg,"GBBY 45G/011: August (Augie, Sonny) Church: Football Player - c1934-1935",University of Notre Dame Archives,1934-1935,http://archives.nd.edu/Bagby/GBBY-45g011.jpg,gbby-45g011,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g012,http://archives.nd.edu/Bagby/GBBY-45g012.jpg,GBBY 45G/012: Ward (Doc) Connell: Football Player - c1922-1924,University of Notre Dame Archives,1922-1924,http://archives.nd.edu/Bagby/GBBY-45g012.jpg,gbby-45g012,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g013,http://archives.nd.edu/Bagby/GBBY-45g013.jpg,GBBY 45G/013: Albert Costello: Football Player - c1932-1934,University of Notre Dame Archives,1932-1934,http://archives.nd.edu/Bagby/GBBY-45g013.jpg,gbby-45g013,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g014,http://archives.nd.edu/Bagby/GBBY-45g014.jpg,GBBY 45G/014: Albert Costello: Football Player - c1932-1934,University of Notre Dame Archives,1932-1934,http://archives.nd.edu/Bagby/GBBY-45g014.jpg,gbby-45g014,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g015,http://archives.nd.edu/Bagby/GBBY-45g015.jpg,GBBY 45G/015: Albert Costello: Football Player - c1932-1934,University of Notre Dame Archives,1932-1934,http://archives.nd.edu/Bagby/GBBY-45g015.jpg,gbby-45g015,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g016,http://archives.nd.edu/Bagby/GBBY-45g016.jpg,GBBY 45G/016: Irwin Davis: Football Player - c1933-1934,University of Notre Dame Archives,1933-1934,http://archives.nd.edu/Bagby/GBBY-45g016.jpg,gbby-45g016,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g017,http://archives.nd.edu/Bagby/GBBY-45g017.jpg,GBBY 45G/017: Rex Enright: Football Player - c1923-1925,University of Notre Dame Archives,1923-1925,http://archives.nd.edu/Bagby/GBBY-45g017.jpg,gbby-45g017,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g018,http://archives.nd.edu/Bagby/GBBY-45g018.jpg,GBBY 45G/018: Donald Elser: Football Player - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g018.jpg,gbby-45g018,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g019,http://archives.nd.edu/Bagby/GBBY-45g019.jpg,GBBY 45G/019: Donald Elser: Football Player - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g019.jpg,gbby-45g019,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g020,http://archives.nd.edu/Bagby/GBBY-45g020.jpg,GBBY 45G/020: Christy Flanagan: Football Player - c1925-1927,University of Notre Dame Archives,1925-1927,http://archives.nd.edu/Bagby/GBBY-45g020.jpg,gbby-45g020,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g020a,http://archives.nd.edu/Bagby/GBBY-45g020a.jpg,GBBY 45G/020a: Wallace (Wally) Fromhart: Football Player - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g020a.jpg,gbby-45g020a,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g021,http://archives.nd.edu/Bagby/GBBY-45g021.jpg,GBBY 45G/021: Frank Gaul: Football Player - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g021.jpg,gbby-45g021,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g022,http://archives.nd.edu/Bagby/GBBY-45g022.jpg,GBBY 45G/022: Dan Hanley: Football Player - c1930-1934,University of Notre Dame Archives,1930-1934,http://archives.nd.edu/Bagby/GBBY-45g022.jpg,gbby-45g022,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g023,http://archives.nd.edu/Bagby/GBBY-45g023.jpg,GBBY 45G/023: Dan Hanley: Football Player - c1930-1934,University of Notre Dame Archives,1930-1934,http://archives.nd.edu/Bagby/GBBY-45g023.jpg,gbby-45g023,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g024,http://archives.nd.edu/Bagby/GBBY-45g024.jpg,GBBY 45G/024: Frank Hering: Chairman of Stadium Committee - 1927,University of Notre Dame Archives,1927,http://archives.nd.edu/Bagby/GBBY-45g024.jpg,gbby-45g024,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g025,http://archives.nd.edu/Bagby/GBBY-45g025.jpg,GBBY 45G/025: Max Houser: Football Player - c1923-1924,University of Notre Dame Archives,1923-1924,http://archives.nd.edu/Bagby/GBBY-45g025.jpg,gbby-45g025,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g026,http://archives.nd.edu/Bagby/GBBY-45g026.jpg,GBBY 45G/026: Charles (Chuck) Jaskwhich: Football Player - 1931,University of Notre Dame Archives,1931,http://archives.nd.edu/Bagby/GBBY-45g026.jpg,gbby-45g026,Image;StillImage;Glassplatenegative,image/jpeg
